component,shot,expected_output,status,take_number,observed_start,observed_end,issue,next_single_change,notes
01,01,pip-v01-c01-s01,planned,1,,,,,
01,02,pip-v01-c01-s02,planned,1,,,,,
01,03,pip-v01-c01-s03,planned,1,,,,,
01,04,pip-v01-c01-s04,planned,1,,,,,
02,01,pip-v01-c02-s01,planned,1,,,,,
02,02,pip-v01-c02-s02,planned,1,,,,,
02,03,pip-v01-c02-s03,planned,1,,,,,
02,04,pip-v01-c02-s04,planned,1,,,,,
03,01,pip-v01-c03-s01,planned,1,,,,,
03,02,pip-v01-c03-s02,planned,1,,,,,
03,03,pip-v01-c03-s03,planned,1,,,,,
03,04,pip-v01-c03-s04,planned,1,,,,,
04,01,pip-v01-c04-s01,planned,1,,,,,
04,02,pip-v01-c04-s02,planned,1,,,,,
04,03,pip-v01-c04-s03,planned,1,,,,,
04,04,pip-v01-c04-s04,planned,1,,,,,
05,01,pip-v01-c05-s01,planned,1,,,,,
05,02,pip-v01-c05-s02,planned,1,,,,,
05,03,pip-v01-c05-s03,planned,1,,,,,
05,04,pip-v01-c05-s04,planned,1,,,,,
